review_id,purchase_id,customer_id,review_content
0,1593,1587,I am very happy with this dog bed. It's great and my dog loves it!
1,1665,7376,Bought this dog leash for my dog and it was good. My dog uses it all the time and seems very satisfied.
2,654,3920,"I am very unhappy with this dog collar. It's supposed to be low-quality, but it's not. My dog won't go near it."
3,1175,7227,The dog collar is good and my dog loves playing with it every day. Highly recommend!
4,1575,8631,"After using this dog food for a week, I can say it's great. My dog is much happier now."
5,643,7797,My dog loves this dog toy! It's very fantastic and has become a favorite toy.
6,85,1843,This dog collar was a waste of money. It's not subpar and my dog refuses to use it.
7,828,5049,"I was hesitant at first, but this dog food turned out to be high-quality. My dog enjoys it a lot!"
8,1751,2800,This is the best dog bed I have bought for my dog. It's fantastic and my dog can't get enough of it.
9,1890,362,"I was hesitant at first, but this dog toy turned out to be fantastic. My dog enjoys it a lot!"
10,569,7932,This dog toy exceeded my expectations. It's very high-quality and my dog seems to be very happy with it.
11,1325,1667,I recently bought this dog collar for my dog and it has been fantastic. The quality is high-quality and my dog absolutely loves it!
12,1317,3345,"I was hesitant at first, but this dog collar turned out to be amazing. My dog enjoys it a lot!"
13,1744,1673,Bought this dog toy for my dog and it was great. My dog uses it all the time and seems very satisfied.
14,1111,6471,The dog bed is durable and my dog loves playing with it every day. Highly recommend!
15,134,5520,My dog loves this dog collar! It's very great and has become a favorite toy.
16,1925,6067,I regret buying this dog bed. It's not poor and my dog doesn't like it.
17,382,3226,The dog food is amazing and my dog has been using it daily. Great purchase!
18,1613,8433,"I bought this dog bed hoping it would be terrible, but it was a disappointment. My dog doesn't like it at all."
19,1064,6254,This dog bed exceeded my expectations. It's very good and my dog seems to be very happy with it.
20,1196,2143,The dog bed is high-quality and my dog has been using it daily. Great purchase!
21,236,601,"After using this dog leash for a week, I can say it's durable. My dog is much happier now."
22,184,8942,I am very happy with this dog leash. It's fantastic and my dog loves it!
23,989,2059,"I thought this dog food would be disappointing, but it's not. My dog doesn't enjoy it at all."
24,968,5522,This dog bed exceeded my expectations. It's very amazing and my dog seems to be very happy with it.
25,26,1333,"The dog food is supposed to be terrible, but it's poorly made. My dog ignores it."
26,1148,8724,"I was hesitant at first, but this dog food turned out to be amazing. My dog enjoys it a lot!"
27,1568,7823,"After using this dog toy for a week, I can say it's durable. My dog is much happier now."
28,181,6174,Bought this dog toy for my dog and it was high-quality. My dog uses it all the time and seems very satisfied.
29,144,4926,This dog collar exceeded my expectations. It's very fantastic and my dog seems to be very happy with it.
30,889,9196,Bought this dog collar for my dog and it was good. My dog uses it all the time and seems very satisfied.
31,1383,5578,This is the best dog bed I have bought for my dog. It's high-quality and my dog can't get enough of it.
32,1618,7105,The dog toy is amazing and my dog loves playing with it every day. Highly recommend!
33,378,6337,I recently bought this dog bed for my dog and it has been fantastic. The quality is durable and my dog absolutely loves it!
34,192,8258,Bought this dog toy for my dog and it was fantastic. My dog uses it all the time and seems very satisfied.
35,363,2229,My dog loves this dog bed! It's very fantastic and has become a favorite toy.
36,699,9105,Bought this dog food for my dog and it was high-quality. My dog uses it all the time and seems very satisfied.
37,1857,3100,This dog toy exceeded my expectations. It's very good and my dog seems to be very happy with it.
38,392,5022,I regret buying this dog collar. It's not poor and my dog doesn't like it.
39,1268,9790,I recently bought this dog collar for my dog and it has been fantastic. The quality is great and my dog absolutely loves it!
40,391,7602,This dog leash exceeded my expectations. It's very great and my dog seems to be very happy with it.
41,1052,1385,This is the best dog leash I have bought for my dog. It's good and my dog can't get enough of it.
42,587,71,"After using this dog toy for a week, I can say it's good. My dog is much happier now."
43,1803,3203,This is the best dog bed I have bought for my dog. It's durable and my dog can't get enough of it.
44,1749,8386,This dog leash exceeded my expectations. It's very great and my dog seems to be very happy with it.
45,1754,8624,Very disappointed with this dog food. It's not disappointing and my dog doesn't use it.
46,1578,749,My dog loves this dog collar! It's very good and has become a favorite toy.
47,1315,5723,The dog leash is fantastic and my dog loves playing with it every day. Highly recommend!
48,795,1767,I am very happy with this dog toy. It's amazing and my dog loves it!
49,179,9557,The dog leash is durable and my dog loves playing with it every day. Highly recommend!
50,869,3372,My dog loves this dog bed! It's very high-quality and has become a favorite toy.
51,1308,8375,I recently bought this dog toy for my dog and it has been fantastic. The quality is fantastic and my dog absolutely loves it!
52,538,9000,I am very happy with this dog collar. It's durable and my dog loves it!
53,931,7892,The dog bed is amazing and my dog loves playing with it every day. Highly recommend!
54,197,3320,"I was hesitant at first, but this dog bed turned out to be fantastic. My dog enjoys it a lot!"
55,740,7341,I recently bought this dog bed for my dog and it has been fantastic. The quality is fantastic and my dog absolutely loves it!
56,325,8172,This dog toy is far from subpar. My dog hates it and won't use it.
57,121,7582,This dog toy exceeded my expectations. It's very amazing and my dog seems to be very happy with it.
58,1051,4621,Bought this dog food for my dog and it was amazing. My dog uses it all the time and seems very satisfied.
59,845,1421,My dog loves this dog collar! It's very great and has become a favorite toy.
60,1822,2550,My dog loves this dog food! It's very high-quality and has become a favorite toy.
61,257,5258,"I thought this dog collar would be terrible, but it's not. My dog doesn't enjoy it at all."
62,1392,3139,I recently bought this dog toy for my dog and it has been fantastic. The quality is durable and my dog absolutely loves it!
63,1307,8630,I recently bought this dog food for my dog and it has been fantastic. The quality is high-quality and my dog absolutely loves it!
64,423,1043,"The dog leash is supposed to be low-quality, but it's poorly made. My dog ignores it."
65,1975,2352,"After using this dog toy for a week, I can say it's fantastic. My dog is much happier now."
66,1936,377,This dog toy is not worth the price. It's not terrible and my dog doesn't like it.
67,1506,7389,My dog loves this dog collar! It's very durable and has become a favorite toy.
68,292,372,The dog bed is amazing and my dog has been using it daily. Great purchase!
69,1205,9829,My dog loves this dog leash! It's very great and has become a favorite toy.
70,1169,9916,"I was hesitant at first, but this dog leash turned out to be fantastic. My dog enjoys it a lot!"
71,680,3766,I recently bought this dog bed for my dog and it has been fantastic. The quality is high-quality and my dog absolutely loves it!
72,1523,3646,My dog loves this dog bed! It's very good and has become a favorite toy.
73,606,9376,Bought this dog food for my dog and it was durable. My dog uses it all the time and seems very satisfied.
74,1845,9813,Bought this dog leash for my dog and it was great. My dog uses it all the time and seems very satisfied.
75,1901,8415,Bought this dog food for my dog and it was fantastic. My dog uses it all the time and seems very satisfied.
76,661,1927,This dog bed exceeded my expectations. It's very amazing and my dog seems to be very happy with it.
77,609,7546,The dog toy is high-quality and my dog loves playing with it every day. Highly recommend!
78,104,9605,This dog bed is far from low-quality. My dog hates it and won't use it.
79,112,5589,"I was hesitant at first, but this dog leash turned out to be fantastic. My dog enjoys it a lot!"
80,46,212,"The dog collar is supposed to be bad, but it's poorly made. My dog ignores it."
81,1743,2809,Bought this dog collar for my dog and it was great. My dog uses it all the time and seems very satisfied.
82,1088,727,"After using this dog bed for a week, I can say it's amazing. My dog is much happier now."
83,472,52,I am very happy with this dog toy. It's amazing and my dog loves it!
84,837,7627,"I bought this dog leash hoping it would be subpar, but it was a disappointment. My dog doesn't like it at all."
85,653,4330,I am very happy with this dog collar. It's good and my dog loves it!
